IBOV - Carteira do Dia 04/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.485.954.732;2,970;2,970;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON      NM;722.766.139;2,561;2,736;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,175;2,736;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,638;1,319;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,681;1,319;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON      NM;767.248.368;0,548;0,650;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,102;0,650;
Cons N Cíclico / Bebidas;ABEV3;AMBEV S/A;ON;4.273.841.357;2,432;2,432;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;0,438;0,500;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,062;0,500;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;0,278;0,278;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,134;0,134;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,129;0,930;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;204.964.309;0,095;0,930;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;981.927.306;0,566;0,930;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;0,140;0,930;
Consumo Cíclico / Tecid Vest Calç;VIVA3;VIVARA S.A.;ON      NM;123.177.361;0,131;0,131;
Consumo Cíclico/Constr Civil;CURY3;CURY S/A;ON      NM;160.988.231;0,217;0,871;
Consumo Cíclico/Constr Civil;CYRE3;CYRELA REALT;ON      NM;256.055.995;0,303;0,871;
Consumo Cíclico/Constr Civil;CYRE4;CYRELA REALT;PN      NM;48.543.949;0,056;0,871;
Consumo Cíclico/Constr Civil;DIRR3;DIRECIONAL;ON      NM;325.640.184;0,178;0,871;
Consumo Cíclico/Constr Civil;MRVE3;MRV;ON      NM;374.670.758;0,117;0,871;
Consumo Cíclico/Viagens e Lazer;SMFT3;SMART FIT;ON      NM;467.471.342;0,390;0,390;
Diversos;COGN3;COGNA ON;ON      NM;1.914.692.857;0,308;2,407;
Diversos;RENT3;LOCALIZA;ON      NM;977.042.684;1,831;2,407;
Diversos;RENT4;LOCALIZA;PN      NM;37.577.993;0,069;2,407;
Diversos;VAMO3;VAMOS;ON      NM;390.902.974;0,063;2,407;
Diversos;YDUQ3;YDUQS PART;ON      NM;261.365.845;0,136;2,407;
Financ e Outros / Explor Imóveis;ALOS3;ALLOS;ON      NM;466.135.796;0,546;1,161;
Financ e Outros / Explor Imóveis;IGTI11;IGUATEMI S.A;UNT     N1;211.401.696;0,224;1,161;
Financ e Outros / Explor Imóveis;MULT3;MULTIPLAN;ON      N2;320.022.221;0,391;1,161;
Financ e Outros / Holdings Divers;ITSA4;ITAUSA;PN      N1;5.970.522.444;3,095;3,095;
Financ e Outros / Interms Financs;BBDC3;BRADESCO;ON  EJ  N1;1.467.570.789;1,010;20,055;
Financ e Outros / Interms Financs;BBDC4;BRADESCO;PN  EJ  N1;5.106.488.516;4,097;20,055;
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON      NM;2.842.496.541;2,702;20,055;
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.404.794.900;3,182;20,055;
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;5.027.870.728;8,585;20,055;
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;360.347.199;0,479;20,055;
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON      NM;616.186.808;0,873;1,805;
Financ e Outros / Previd  Seguros;CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,406;1,805;
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;81.838.787;0,179;1,805;
Financ e Outros / Previd  Seguros;PSSA3;PORTO SEGURO;ON      NM;181.016.454;0,347;1,805;
