IBRA - Carteira do Dia 05/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;KEPL3;KEPLER WEBER;ON      NM;173.082.697;0,060;2,682;
Bens Indls / Máqs e Equips;WEGE3;WEG;ON      NM;1.485.954.732;2,622;2,682;
Bens Indls / Mat Transporte;EMBJ3;EMBRAER;ON      NM;722.766.139;2,287;2,625;
Bens Indls / Mat Transporte;FRAS3;FRAS-LE;ON      N1;107.111.030;0,088;2,625;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;0,155;2,625;
Bens Indls / Mat Transporte;RAPT4;RANDON PART;PN      N1;176.793.154;0,038;2,625;
Bens Indls / Mat Transporte;RCSL3;RECRUSUL;ON;2.760.432;0,000;2,625;
Bens Indls / Mat Transporte;RCSL4;RECRUSUL;PN;15.971.374;0,004;2,625;
Bens Indls / Mat Transporte;TUPY3;TUPY;ON      NM;130.913.780;0,053;2,625;
Bens Indls / Serviços;GGPS3;GPS;ON      NM;433.010.168;0,276;0,332;
Bens Indls / Serviços;VLID3;VALID;ON      NM;75.830.365;0,056;0,332;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;328.954.615;0,121;1,481;
Bens Indls/Transporte;HBSA3;HIDROVIAS;ON      NM;611.563.443;0,084;1,481;
Bens Indls/Transporte;JSLG3;JSL;ON      NM;63.103.465;0,017;1,481;
Bens Indls/Transporte;MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,576;1,481;
Bens Indls/Transporte;RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,640;1,481;
Bens Indls/Transporte;TGMA3;TEGMA;ON      NM;32.001.079;0,043;1,481;
Bens Industriais / Constr e Engenh;ARML3;ARMAC;ON      NM;172.086.226;0,027;0,120;
Bens Industriais / Constr e Engenh;MILS3;MILLS;ON      NM;108.722.880;0,057;0,120;
Bens Industriais / Constr e Engenh;PRNR3;PRINER;ON      NM;55.925.047;0,036;0,120;
Comput e Equips;INTB3;INTELBRAS;ON      NM;114.061.681;0,048;0,059;
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;72.725.303;0,011;0,059;
Cons N  Básico / Alimentos Processados;CAML3;CAMIL;ON      NM;96.218.424;0,023;0,731;
Cons N  Básico / Alimentos Processados;MDIA3;M.DIASBRANCO;ON      NM;64.887.799;0,056;0,731;
Cons N  Básico / Alimentos Processados;MBRF3;MARFRIG;ON      NM;767.248.368;0,498;0,731;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,091;0,731;
