SMLL - Carteira do Dia 06/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Bens Indls / Máqs e Equips;KEPL3;KEPLER WEBER;ON      NM;173.082.697;0,493;0,493;
Bens Indls / Mat Transporte;FRAS3;FRAS-LE;ON      N1;107.111.030;0,717;2,784;
Bens Indls / Mat Transporte;POMO4;MARCOPOLO;PN      N2;727.730.867;1,280;2,784;
Bens Indls / Mat Transporte;RAPT4;RANDON PART;PN      N1;176.793.154;0,313;2,784;
Bens Indls / Mat Transporte;RCSL3;RECRUSUL;ON;2.760.432;0,002;2,784;
Bens Indls / Mat Transporte;RCSL4;RECRUSUL;PN;15.971.374;0,035;2,784;
Bens Indls / Mat Transporte;TUPY3;TUPY;ON      NM;130.913.780;0,437;2,784;
Bens Indls / Serviços;GGPS3;GPS;ON      NM;433.010.168;2,245;2,701;
Bens Indls / Serviços;VLID3;VALID;ON      NM;75.830.365;0,456;2,701;
Bens Indls/Transporte;ECOR3;ECORODOVIAS;ON      NM;328.954.615;1,012;2,201;
Bens Indls/Transporte;HBSA3;HIDROVIAS;ON      NM;611.563.443;0,683;2,201;
Bens Indls/Transporte;JSLG3;JSL;ON      NM;63.103.465;0,148;2,201;
Bens Indls/Transporte;TGMA3;TEGMA;ON      NM;32.001.079;0,358;2,201;
Bens Industriais / Constr e Engenh;ARML3;ARMAC;ON      NM;172.086.226;0,220;0,987;
Bens Industriais / Constr e Engenh;MILS3;MILLS;ON      NM;108.722.880;0,461;0,987;
Bens Industriais / Constr e Engenh;PRNR3;PRINER;ON      NM;55.925.047;0,306;0,987;
Comput e Equips;INTB3;INTELBRAS;ON      NM;114.061.681;0,386;0,475;
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;72.725.303;0,089;0,475;
Cons N  Básico / Alimentos Processados;CAML3;CAMIL;ON      NM;96.218.424;0,184;1,903;
Cons N  Básico / Alimentos Processados;MDIA3;M.DIASBRANCO;ON      NM;64.887.799;0,455;1,903;
Cons N  Básico / Alimentos Processados;BEEF3;MINERVA;ON      NM;439.073.587;0,754;1,903;
Cons N  Básico / Alimentos Processados;SMTO3;SAO MARTINHO;ON      NM;123.583.436;0,510;1,903;
Cons N Cíclico / Comércio Distr.;ASAI3;ASSAI;ON      NM;1.338.601.375;3,283;4,373;
Cons N Cíclico / Comércio Distr.;GMAT3;GRUPO MATEUS;ON      NM;457.887.353;0,639;4,373;
Cons N Cíclico / Comércio Distr.;PCAR3;P.ACUCAR-CBD;ON      NM;433.412.603;0,451;4,373;
Cons N Cíclico / Pr Pessoal Limp;NATU3;NATURA;ON      NM;838.359.453;2,113;2,113;
Cons N Ciclico/Agropecuária;TTEN3;3TENTOS;ON      NM;113.576.386;0,513;1,990;
Cons N Ciclico/Agropecuária;SOJA3;BOA SAFRA;ON      NM;59.184.380;0,142;1,990;
Cons N Ciclico/Agropecuária;AGRO3;BRASILAGRO;ON      NM;63.307.258;0,358;1,990;
Cons N Ciclico/Agropecuária;SLCE3;SLC AGRICOLA;ON      NM;222.404.640;0,977;1,990;
Consumo Cíclico / Comércio;AZZA3;AZZAS 2154;ON      NM;132.447.688;0,922;8,070;
Consumo Cíclico / Comércio;BHIA3;CASAS BAHIA;ON      NM;95.071.856;0,080;8,070;
Consumo Cíclico / Comércio;CEAB3;CEA MODAS;ON      NM;204.964.309;0,731;8,070;
Consumo Cíclico / Comércio;SBFG3;GRUPO SBF;ON      NM;128.426.253;0,494;8,070;
Consumo Cíclico / Comércio;LREN3;LOJAS RENNER;ON      NM;981.927.306;4,207;8,070;
Consumo Cíclico / Comércio;MGLU3;MAGAZ LUIZA;ON      NM;373.185.407;1,015;8,070;
Consumo Cíclico / Comércio;AUAU3;PETZCOBASI;ON      NM;296.819.280;0,268;8,070;
Consumo Cíclico / Comércio;LJQQ3;QUERO-QUERO;ON      NM;195.194.199;0,131;8,070;
Consumo Cíclico / Comércio;RIAA3;RIACHUELO;ON      NM;82.758.473;0,222;8,070;
Consumo Cíclico / Tecid Vest Calç;ALPA4;ALPARGATAS;PN      N1;137.901.957;0,592;2,713;
Consumo Cíclico / Tecid Vest Calç;GRND3;GRENDENE;ON      NM;245.681.367;0,343;2,713;
